iter	Passed	Remaining
0	5	543
1	11	574
2	18	583
3	27	668
4	33	629
5	38	605
6	40	544
7	42	493
8	44	453
9	46	420
10	50	407
11	51	380
12	53	355
13	54	333
14	55	313
15	56	297
16	57	282
17	58	268
18	60	259
19	62	249
20	63	238
21	64	228
22	65	219
23	66	211
24	67	203
25	68	195
26	69	188
27	70	182
28	71	175
29	73	171
30	74	166
31	75	160
32	76	155
33	77	150
34	78	146
35	79	141
36	80	137
37	81	133
38	82	129
39	83	125
40	85	123
41	86	119
42	87	115
43	88	112
44	89	109
45	90	105
46	91	102
47	92	99
48	92	96
49	94	94
50	95	91
51	96	88
52	97	86
53	98	84
54	99	81
55	100	79
56	101	76
57	102	74
58	103	71
59	104	69
60	105	67
61	106	65
62	107	63
63	108	60
64	109	58
65	110	57
66	112	55
67	113	53
68	114	51
69	115	49
70	116	47
71	117	45
72	118	43
73	119	41
74	120	40
75	121	38
76	122	36
77	123	34
78	124	33
79	126	31
80	126	29
81	127	28
82	128	26
83	129	24
84	130	23
85	131	21
86	132	19
87	133	18
88	134	16
89	135	15
90	137	13
91	138	12
92	139	10
93	140	8
94	141	7
95	142	5
96	143	4
97	145	2
98	146	1
99	146	0
